STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE
강남구,4154,10195664.32,96170,2023-07-17
강동구,5467,10175526.53,101866,2023-07-17
강북구,2301,5506596.36,49959,2023-07-17
강서구,19935,32280943.54,285831,2023-07-17
관악구,3387,6116237.42,62310,2023-07-17
광진구,6331,12705834.19,115167,2023-07-17
구로구,6396,13015891.78,111234,2023-07-17
금천구,2977,6393146.24,51128,2023-07-17
노원구,8735,19026659.2,164403,2023-07-17
도봉구,3239,8012567.79,66104,2023-07-17
동대문구,5521,12561019.42,108600,2023-07-17
동작구,2897,5930783.85,54263,2023-07-17
마포구,7053,17281898.98,161639,2023-07-17
서대문구,3112,8667806.95,68089,2023-07-17
서초구,3795,8133056.07,75168,2023-07-17
성동구,5445,13623401.5,117774,2023-07-17
성북구,3573,8322230.24,69633,2023-07-17
송파구,10797,21715149.55,204511,2023-07-17
양천구,9222,16678471.22,156520,2023-07-17
영등포구,12702,25393588.12,243677,2023-07-17
용산구,2558,5931461.53,51898,2023-07-17
은평구,4291,9084961.87,81912,2023-07-17
종로구,5372,10954327.94,107242,2023-07-17
중구,3940,9162671.76,86497,2023-07-17
중랑구,4142,8647520.66,73421,2023-07-17
