STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE
강남구,4875,15262309.31,123029,2023-07-24
강동구,6632,13488738.05,133221,2023-07-24
강북구,2270,5478200.66,49530,2023-07-24
강서구,20517,35450102.93,300949,2023-07-24
관악구,3856,10601194.61,84985,2023-07-24
광진구,7391,17039791.73,150827,2023-07-24
구로구,6728,16260789.73,130638,2023-07-24
금천구,3186,7627679.47,56448,2023-07-24
노원구,9213,21513464.46,182086,2023-07-24
도봉구,3421,9014760.83,71903,2023-07-24
동대문구,5770,14370920.81,124120,2023-07-24
동작구,3185,8916096.82,71634,2023-07-24
마포구,8176,23806369.34,199684,2023-07-24
서대문구,3231,9776157.24,75610,2023-07-24
서초구,4554,13994694.76,112467,2023-07-24
성동구,6065,18141850.88,148360,2023-07-24
성북구,3775,9858378.21,80180,2023-07-24
송파구,13144,30503595.22,278914,2023-07-24
양천구,9732,18719904.13,170842,2023-07-24
영등포구,13450,32456883.19,284966,2023-07-24
용산구,2915,9511745.76,72905,2023-07-24
은평구,4131,9591657.88,83436,2023-07-24
종로구,5805,12529502.87,118122,2023-07-24
중구,4430,10064456.5,94629,2023-07-24
중랑구,4613,10358672.87,88086,2023-07-24
