STA_LOC,USE_CNT,AVG_MOVE_TIME,DATE,Day_of_Week,Is_Holiday,Is_Weekend,tempmax,tempmin,feelslike,humidity,precip
강남구,4367,34.200824364552325,2023-05-29,Monday,False,False,28.5,19.1,23.3,83.8,5.917
강동구,6113,25.753312612465237,2023-05-29,Monday,False,False,28.5,19.1,23.3,83.8,5.917
강북구,2218,26.4404869251578,2023-05-29,Monday,False,False,28.5,19.1,23.3,83.8,5.917
강서구,14642,20.386559213222238,2023-05-29,Monday,False,False,28.5,19.1,23.3,83.8,5.917
관악구,3874,27.50774393391843,2023-05-29,Monday,False,False,28.5,19.1,23.3,83.8,5.917
광진구,7350,26.43469387755102,2023-05-29,Monday,False,False,28.5,19.1,23.3,83.8,5.917
구로구,4948,27.126313662085693,2023-05-29,Monday,False,False,28.5,19.1,23.3,83.8,5.917
금천구,1905,28.79737532808399,2023-05-29,Monday,False,False,28.5,19.1,23.3,83.8,5.917
노원구,9273,23.991588482691686,2023-05-29,Monday,False,False,28.5,19.1,23.3,83.8,5.917
도봉구,3406,26.95772166764533,2023-05-29,Monday,False,False,28.5,19.1,23.3,83.8,5.917
동대문구,5160,26.70794573643411,2023-05-29,Monday,False,False,28.5,19.1,23.3,83.8,5.917
동작구,3115,31.412520064205456,2023-05-29,Monday,False,False,28.5,19.1,23.3,83.8,5.917
마포구,8065,33.82021078735276,2023-05-29,Monday,False,False,28.5,19.1,23.3,83.8,5.917
서대문구,2839,32.65586474110602,2023-05-29,Monday,False,False,28.5,19.1,23.3,83.8,5.917
서초구,4200,37.64380952380952,2023-05-29,Monday,False,False,28.5,19.1,23.3,83.8,5.917
성동구,5771,34.215907121815974,2023-05-29,Monday,False,False,28.5,19.1,23.3,83.8,5.917
성북구,3631,24.75268521068576,2023-05-29,Monday,False,False,28.5,19.1,23.3,83.8,5.917
송파구,13707,27.478952360107975,2023-05-29,Monday,False,False,28.5,19.1,23.3,83.8,5.917
양천구,7760,22.70708762886598,2023-05-29,Monday,False,False,28.5,19.1,23.3,83.8,5.917
영등포구,11181,31.294875234773276,2023-05-29,Monday,False,False,28.5,19.1,23.3,83.8,5.917
용산구,3522,34.15502555366269,2023-05-29,Monday,False,False,28.5,19.1,23.3,83.8,5.917
은평구,3762,27.025252525252526,2023-05-29,Monday,False,False,28.5,19.1,23.3,83.8,5.917
종로구,4162,24.19365689572321,2023-05-29,Monday,False,False,28.5,19.1,23.3,83.8,5.917
중구,2695,25.052690166975882,2023-05-29,Monday,False,False,28.5,19.1,23.3,83.8,5.917
중랑구,4410,24.20045351473923,2023-05-29,Monday,False,False,28.5,19.1,23.3,83.8,5.917
