STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE
강남구,6823,21920434.42,175030,2023-09-18
강동구,8234,17245237.03,160075,2023-09-18
강북구,2886,7365712.18,64955,2023-09-18
강서구,23606,41813612.9,355023,2023-09-18
관악구,4686,12532675.28,102235,2023-09-18
광진구,10252,23572404.16,206055,2023-09-18
구로구,8488,20675381.52,165207,2023-09-18
금천구,4096,10419139.29,74059,2023-09-18
노원구,11798,26971812.23,224908,2023-09-18
도봉구,4054,10928178.83,85409,2023-09-18
동대문구,6926,17306289.06,149105,2023-09-18
동작구,4079,11881473.83,97399,2023-09-18
마포구,9802,29838924.23,245657,2023-09-18
서대문구,4041,12321615.23,93626,2023-09-18
서초구,6208,19973831.23,163393,2023-09-18
성동구,8039,24214176.14,194858,2023-09-18
성북구,5042,12708930.27,101548,2023-09-18
송파구,15967,36946645.91,330150,2023-09-18
양천구,11345,22556182.91,200946,2023-09-18
영등포구,17067,44222340.09,383609,2023-09-18
용산구,3791,12684375.11,94661,2023-09-18
은평구,4838,11243108.96,99345,2023-09-18
종로구,7043,15241136.68,142127,2023-09-18
중구,5326,12852847.81,118025,2023-09-18
중랑구,5907,13954580.8,115261,2023-09-18
