index,STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE,Day_of_Week,Is_Holiday,tempmax,tempmin,feelslike,humidity,precip
0,강남구,4572,18364129.37,153269,2022-10-01,Saturday,False,27.5,14.7,20.8,64.0,0.0
1,강동구,7682,18537385.86,179327,2022-10-01,Saturday,False,27.5,14.7,20.8,64.0,0.0
2,강북구,2501,7121543.12,61167,2022-10-01,Saturday,False,27.5,14.7,20.8,64.0,0.0
3,강서구,17147,36028102.86,317886,2022-10-01,Saturday,False,27.5,14.7,20.8,64.0,0.0
4,관악구,4526,14847451.12,116918,2022-10-01,Saturday,False,27.5,14.7,20.8,64.0,0.0
5,광진구,8665,26320532.96,230793,2022-10-01,Saturday,False,27.5,14.7,20.8,64.0,0.0
6,구로구,5912,18514499.01,150732,2022-10-01,Saturday,False,27.5,14.7,20.8,64.0,0.0
7,금천구,2106,7342003.77,58289,2022-10-01,Saturday,False,27.5,14.7,20.8,64.0,0.0
8,노원구,9927,26635515.63,221403,2022-10-01,Saturday,False,27.5,14.7,20.8,64.0,0.0
9,도봉구,3632,11228734.63,89370,2022-10-01,Saturday,False,27.5,14.7,20.8,64.0,0.0
10,동대문구,5448,16501205.07,138786,2022-10-01,Saturday,False,27.5,14.7,20.8,64.0,0.0
11,동작구,4117,14318305.87,122269,2022-10-01,Saturday,False,27.5,14.7,20.8,64.0,0.0
12,마포구,9518,34550233.93,311993,2022-10-01,Saturday,False,27.5,14.7,20.8,64.0,0.0
13,서대문구,3543,12720549.02,106525,2022-10-01,Saturday,False,27.5,14.7,20.8,64.0,0.0
14,서초구,5210,20027469.73,177440,2022-10-01,Saturday,False,27.5,14.7,20.8,64.0,0.0
15,성동구,6366,24395361.36,215460,2022-10-01,Saturday,False,27.5,14.7,20.8,64.0,0.0
16,성북구,4208,12084175.3,98760,2022-10-01,Saturday,False,27.5,14.7,20.8,64.0,0.0
17,송파구,17520,47784973.34,451028,2022-10-01,Saturday,False,27.5,14.7,20.8,64.0,0.0
18,양천구,9514,22181678.42,208028,2022-10-01,Saturday,False,27.5,14.7,20.8,64.0,0.0
19,영등포구,13059,42005807.87,381323,2022-10-01,Saturday,False,27.5,14.7,20.8,64.0,0.0
20,용산구,4236,15779771.540000001,137695,2022-10-01,Saturday,False,27.5,14.7,20.8,64.0,0.0
21,은평구,4764,12971233.3,113781,2022-10-01,Saturday,False,27.5,14.7,20.8,64.0,0.0
22,종로구,5000,11899691.16,119487,2022-10-01,Saturday,False,27.5,14.7,20.8,64.0,0.0
23,중구,2991,8241550.85,79724,2022-10-01,Saturday,False,27.5,14.7,20.8,64.0,0.0
24,중랑구,4982,13440811.67,111369,2022-10-01,Saturday,False,27.5,14.7,20.8,64.0,0.0
