district,use_count,avg_use_time
강남구,3735.8356401384085,24.920158960610166
강동구,5038.150519031142,19.670592102891476
강북구,1482.6141868512111,22.124457044998575
강서구,13684.257785467127,14.955534776978629
관악구,2363.7231833910037,21.85790740883359
광진구,5473.896193771627,20.03589314635961
구로구,4609.564013840831,19.506214311876146
금천구,1965.6557093425606,19.07162824868239
노원구,6916.181660899654,19.06243903938482
도봉구,2430.4221453287196,20.489312834072884
동대문구,3768.2076124567475,21.41634713330958
동작구,2040.7612456747404,23.881299901459865
마포구,5369.4636678200695,24.852995558793143
서대문구,2109.61937716263,23.13645135732485
서초구,3374.0432525951555,24.85452261228925
성동구,4429.595155709342,24.143153952637153
성북구,2407.6349480968856,21.027124174852762
송파구,10316.560553633219,20.749972047841695
양천구,6863.401384083045,17.864848386963956
영등포구,10048.768166089965,21.305067828600563
용산구,2201.8754325259515,24.98382088064882
은평구,2662.916955017301,20.68445689093837
종로구,3598.3961937716263,20.886412118599573
중구,2603.59169550173,22.59475256470761
중랑구,3153.785467128028,18.926957689940117
