STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE
강남구,2018,3475912.21,35091,2023-11-16
강동구,2535,3882714.32,40369,2023-11-16
강북구,750,1284745.72,12691,2023-11-16
강서구,7737,9993664.33,90755,2023-11-16
관악구,1508,2453313.89,25983,2023-11-16
광진구,2943,4189226.4,42948,2023-11-16
구로구,2481,4321250.64,37314,2023-11-16
금천구,1371,2062899.18,17864,2023-11-16
노원구,3093,4997332.37,47410,2023-11-16
도봉구,1030,1831527.3,16779,2023-11-16
동대문구,2085,3694875.18,36947,2023-11-16
동작구,1073,2023878.49,17172,2023-11-16
마포구,2529,4605222.47,49293,2023-11-16
서대문구,1101,1988272.88,18577,2023-11-16
서초구,1652,2645116.93,28142,2023-11-16
성동구,2230,3679378.5,36740,2023-11-16
성북구,1415,2486517.63,22770,2023-11-16
송파구,5280,8316476.14,85182,2023-11-16
양천구,3224,5040447.39,48681,2023-11-16
영등포구,4878,6985661.46,75181,2023-11-16
용산구,934,1773675.3,16919,2023-11-16
은평구,1267,1955038.59,17854,2023-11-16
종로구,1947,2904402.21,30561,2023-11-16
중구,1319,2139717.85,23922,2023-11-16
중랑구,1648,2816167.45,26286,2023-11-16
