STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE
강남구,3856,10061857.95,83234,2023-12-05
강동구,4959,9089920.52,90336,2023-12-05
강북구,1713,3470696.39,32766,2023-12-05
강서구,16448,25040603.88,219178,2023-12-05
관악구,2700,5493675.77,48523,2023-12-05
광진구,5816,10251876.7,97097,2023-12-05
구로구,5231,11047040.38,87940,2023-12-05
금천구,2529,5338492.14,40340,2023-12-05
노원구,7586,14226365.55,127890,2023-12-05
도봉구,2482,5425093.25,45573,2023-12-05
동대문구,4323,9508546.23,84930,2023-12-05
동작구,2193,5342180.33,41346,2023-12-05
마포구,5400,12535570.16,108974,2023-12-05
서대문구,2283,5645957.71,44142,2023-12-05
서초구,3528,8426644.16,72112,2023-12-05
성동구,5046,11661190.54,102039,2023-12-05
성북구,3077,6322031.59,53968,2023-12-05
송파구,10219,20548252.64,192545,2023-12-05
양천구,7069,13005689.66,114795,2023-12-05
영등포구,10829,21619997.05,203210,2023-12-05
용산구,2210,5495943.67,44240,2023-12-05
은평구,2849,5565189.2,48075,2023-12-05
종로구,4732,8447325.85,88141,2023-12-05
중구,3497,7535012.03,75683,2023-12-05
중랑구,3499,6908100.19,58556,2023-12-05
