STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE
강남구,1278,2355653.54,24770,2023-12-21
강동구,1896,2785404.11,31876,2023-12-21
강북구,655,1110706.21,11866,2023-12-21
강서구,6814,8151586.57,76962,2023-12-21
관악구,935,1417125.4,14396,2023-12-21
광진구,2258,3285086.18,36372,2023-12-21
구로구,1759,2898152.07,26579,2023-12-21
금천구,937,1438878.94,12817,2023-12-21
노원구,2919,4294660.72,41255,2023-12-21
도봉구,993,1572366.67,15361,2023-12-21
동대문구,1636,2789535.27,28510,2023-12-21
동작구,709,1183866.4,12022,2023-12-21
마포구,1752,2789322.21,28739,2023-12-21
서대문구,778,1470499.83,13029,2023-12-21
서초구,1138,1886397.21,18739,2023-12-21
성동구,1923,3086039.78,32429,2023-12-21
성북구,1135,1822434.03,17197,2023-12-21
송파구,3568,5479537.35,59878,2023-12-21
양천구,2609,3850217.28,40151,2023-12-21
영등포구,3780,5415188.95,56746,2023-12-21
용산구,683,1097979.32,10427,2023-12-21
은평구,957,1417114.27,14914,2023-12-21
종로구,1786,2533116.96,29629,2023-12-21
중구,1106,1825563.21,21638,2023-12-21
중랑구,1349,1978441.86,19147,2023-12-21
