STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE
강남구,1968,5187347.09,45719,2023-01-30
강동구,2612,4683700.85,47648,2023-01-30
강북구,948,1868175.46,18616,2023-01-30
강서구,8369,12858482.91,110533,2023-01-30
관악구,1614,3250906.18,28899,2023-01-30
광진구,2827,5350369.0,49468,2023-01-30
구로구,2647,5665789.7700000005,47188,2023-01-30
금천구,1211,2617831.34,19988,2023-01-30
노원구,3680,7389307.7700000005,67044,2023-01-30
도봉구,1248,2584342.56,23367,2023-01-30
동대문구,2355,5032575.54,46863,2023-01-30
동작구,1298,2904206.63,24308,2023-01-30
마포구,3038,6980521.45,64393,2023-01-30
서대문구,1308,3119176.3,25902,2023-01-30
서초구,1935,4717614.07,42189,2023-01-30
성동구,2704,6253912.37,53565,2023-01-30
성북구,1437,3270113.67,29342,2023-01-30
송파구,5902,11491227.69,110219,2023-01-30
양천구,3998,7188217.42,65994,2023-01-30
영등포구,5644,11139715.33,102224,2023-01-30
용산구,1209,3008216.96,25530,2023-01-30
은평구,1551,3177612.46,28541,2023-01-30
종로구,2599,4642048.7,48076,2023-01-30
중구,1805,3526773.88,33706,2023-01-30
중랑구,1704,3221477.67,27449,2023-01-30
