STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE
강남구,2111,4736598.84,42477,2024-01-15
강동구,2710,4518811.23,50113,2024-01-15
강북구,877,1821838.47,19127,2024-01-15
강서구,9977,13912082.93,122445,2024-01-15
관악구,1501,2819943.44,27286,2024-01-15
광진구,3150,5349912.84,51933,2024-01-15
구로구,3000,5580378.5,47396,2024-01-15
금천구,1376,2598994.01,21933,2024-01-15
노원구,3690,6719655.56,65270,2024-01-15
도봉구,1351,2636681.03,24865,2024-01-15
동대문구,2330,4664707.33,44772,2024-01-15
동작구,1176,2302196.48,19822,2024-01-15
마포구,3054,6010432.86,57368,2024-01-15
서대문구,1309,3018279.94,24604,2024-01-15
서초구,1982,3949128.36,37726,2024-01-15
성동구,2838,5633492.7,52262,2024-01-15
성북구,1577,3045802.91,28120,2024-01-15
송파구,5954,10300134.73,106038,2024-01-15
양천구,4386,7101723.4,68493,2024-01-15
영등포구,6296,10978410.95,107412,2024-01-15
용산구,1127,2513353.99,22257,2024-01-15
은평구,1483,2653043.8,27086,2024-01-15
종로구,2577,4219063.71,45667,2024-01-15
중구,1830,3528682.56,36921,2024-01-15
중랑구,1882,3412935.17,31394,2024-01-15
