STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE
강남구,5909,20049514.88,156680,2023-06-23
강동구,8509,18483442.09,168740,2023-06-23
강북구,2787,7000977.55,58127,2023-06-23
강서구,24187,43283750.8,367031,2023-06-23
관악구,4870,13692177.55,105866,2023-06-23
광진구,9056,22076541.32,186435,2023-06-23
구로구,8439,22108750.45,166883,2023-06-23
금천구,3868,10040503.53,72177,2023-06-23
노원구,11240,25110162.12,215115,2023-06-23
도봉구,4452,11382166.28,93068,2023-06-23
동대문구,6848,17005557.99,143724,2023-06-23
동작구,3873,11843688.57,92482,2023-06-23
마포구,9315,27964333.12,238014,2023-06-23
서대문구,3524,10552962.42,80404,2023-06-23
서초구,5597,18490116.03,152574,2023-06-23
성동구,7462,22498363.43,186776,2023-06-23
성북구,4402,11471357.78,92388,2023-06-23
송파구,17608,42859900.51,380564,2023-06-23
양천구,12045,24643980.78,214549,2023-06-23
영등포구,16646,43317464.97,368730,2023-06-23
용산구,3744,12614612.11,96538,2023-06-23
은평구,4811,11438334.9,94612,2023-06-23
종로구,6740,14537624.81,139553,2023-06-23
중구,4779,11735703.78,109188,2023-06-23
중랑구,5803,13548086.31,111749,2023-06-23
