STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE
강남구,6507,22307987.87,168847,2023-06-13
강동구,8850,19426051.54,175196,2023-06-13
강북구,2821,7152633.79,61274,2023-06-13
강서구,24553,45620115.85,378488,2023-06-13
관악구,4959,13959738.25,110809,2023-06-13
광진구,9518,22367889.75,189966,2023-06-13
구로구,8600,22497782.95,170870,2023-06-13
금천구,4252,11396715.59,80659,2023-06-13
노원구,11958,27451962.1,219794,2023-06-13
도봉구,4302,10931061.64,85171,2023-06-13
동대문구,7143,18004862.59,147484,2023-06-13
동작구,4156,12587419.48,94926,2023-06-13
마포구,9851,30251425.23,247629,2023-06-13
서대문구,3767,11428389.4,87176,2023-06-13
서초구,6225,20350215.34,157678,2023-06-13
성동구,7894,25226191.75,196499,2023-06-13
성북구,4920,12592445.3,100453,2023-06-13
송파구,17893,42089470.96,367274,2023-06-13
양천구,11233,24108651.85,204019,2023-06-13
영등포구,17086,45287783.49,375821,2023-06-13
용산구,4104,15523578.89,108773,2023-06-13
은평구,4885,12377722.13,103627,2023-06-13
종로구,7047,15966538.77,144524,2023-06-13
중구,5141,12632248.46,116194,2023-06-13
중랑구,5911,13753875.46,110115,2023-06-13
