STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE
강남구,6147,20960742.86,160348,2023-05-31
강동구,8145,17750953.3,164501,2023-05-31
강북구,2778,6958440.93,61608,2023-05-31
강서구,23496,43291995.26,358168,2023-05-31
관악구,4811,13389695.65,102200,2023-05-31
광진구,9116,21363753.67,179371,2023-05-31
구로구,8216,21019170.06,160485,2023-05-31
금천구,3917,10552568.4,75071,2023-05-31
노원구,12005,27536724.91,227526,2023-05-31
도봉구,4357,11288592.87,88433,2023-05-31
동대문구,6926,18204870.84,144275,2023-05-31
동작구,3977,12099041.78,93984,2023-05-31
마포구,9382,28978580.52,241212,2023-05-31
서대문구,3675,11171076.26,85188,2023-05-31
서초구,5647,19077195.37,148481,2023-05-31
성동구,7514,23283824.69,182717,2023-05-31
성북구,4738,11713024.61,93710,2023-05-31
송파구,17625,41816190.06,360626,2023-05-31
양천구,11071,23180637.58,198007,2023-05-31
영등포구,16005,43165317.24,350665,2023-05-31
용산구,3973,14133148.19,104283,2023-05-31
은평구,4792,11328664.77,96126,2023-05-31
종로구,7204,16035825.4,151077,2023-05-31
중구,4950,12218368.92,111172,2023-05-31
중랑구,5845,13719227.46,108183,2023-05-31
