STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE
강남구,6625,20531808.55,168278,2023-10-18
강동구,8127,16109987.03,148491,2023-10-18
강북구,2619,6211283.51,56337,2023-10-18
강서구,23885,40590166.24,348162,2023-10-18
관악구,4510,11091943.9,93183,2023-10-18
광진구,8671,19409136.45,172470,2023-10-18
구로구,8086,19307392.95,150637,2023-10-18
금천구,3751,9648811.54,69567,2023-10-18
노원구,11348,24538184.48,210114,2023-10-18
도봉구,3895,9803716.6,77622,2023-10-18
동대문구,6597,15765910.95,135840,2023-10-18
동작구,3890,10643624.71,84306,2023-10-18
마포구,9252,26543350.46,225696,2023-10-18
서대문구,3763,10626794.61,82246,2023-10-18
서초구,6136,19050919.97,152275,2023-10-18
성동구,7462,21813511.0,177017,2023-10-18
성북구,4713,10785027.48,92538,2023-10-18
송파구,16743,38193780.85,347571,2023-10-18
양천구,11267,22359879.69,194947,2023-10-18
영등포구,16174,39520964.75,352602,2023-10-18
용산구,3963,12742182.17,98091,2023-10-18
은평구,4907,11245604.9,98114,2023-10-18
종로구,6748,14279612.95,141433,2023-10-18
중구,5127,12245946.27,115944,2023-10-18
중랑구,5665,13216239.37,106635,2023-10-18
