district,sigungu_cd,base_date,centroid_lat,centroid_lon,nx,ny,grid_lat,grid_lon,distance_km
강남구,11230,20250630,37.49665886361847,127.06298054262635,61,125,37.487061,127.046021,1.8378911948587766
강동구,11250,20250630,37.55045034245639,127.14701219537322,63,126,37.531898,127.163078,2.502422366595738
강북구,11090,20250630,37.64346396230397,127.01119778397135,60,128,37.625992,126.990074,2.6896920222956213
강서구,11160,20250630,37.56123443834811,126.82281432031775,57,127,37.581429,126.814774,2.35468701986997
관악구,11210,20250630,37.46738763552422,126.94533450886462,59,125,37.488201,126.92981,2.6894018260570833
광진구,11050,20250630,37.54671749434946,127.0857443552304,62,126,37.532551,127.104927,2.3112766053261815
구로구,11170,20250630,37.49440581042693,126.85631849112478,58,125,37.48872,126.871704,1.4974290126369187
금천구,11180,20250630,37.460571831366074,126.9008256788724,59,124,37.442093,126.929138,3.2354696061031616
노원구,11110,20250630,37.65250657663474,127.07504996391516,61,129,37.671528,127.049065,3.11535904772013
도봉구,11100,20250630,37.66910264952576,127.03237796156137,61,129,37.671528,127.049065,1.4932688370227138
동대문구,11060,20250630,37.582009248236886,127.05487392733536,61,127,37.579285,127.047546,0.7132688852931877
동작구,11200,20250630,37.498886410951016,126.95166878860425,59,125,37.488201,126.92981,2.2651202346617905
마포구,11140,20250630,37.55931748192588,126.90826460431798,59,127,37.580425,126.93116,3.095227316228875
서대문구,11130,20250630,37.57778954237864,126.9390644316316,59,127,37.580425,126.93116,0.7556986882977305
서초구,11220,20250630,37.47329347139733,127.03124809000134,61,125,37.487061,127.046021,2.010690204253022
성동구,11040,20250630,37.5510273882652,127.04105164087416,61,126,37.533169,127.046783,2.0490478341691487
성북구,11080,20250630,37.60570257200815,127.0175160940419,60,128,37.625992,126.990074,3.3063953453304404
송파구,11240,20250630,37.50561483243618,127.11529560361907,62,125,37.486443,127.104126,2.3485375909170196
양천구,11150,20250630,37.52474046442628,126.85536916668562,58,126,37.534828,126.872337,1.8700111590330617
영등포구,11190,20250630,37.522311947878805,126.91018189389794,59,126,37.534309,126.930481,2.2324526947589116
용산구,11030,20250630,37.53136436592392,126.9799107886035,60,126,37.533756,126.988632,0.8137064216828854
은평구,11120,20250630,37.61920941049814,126.9270221897135,59,128,37.626545,126.931839,0.919402052096072
종로구,11010,20250630,37.59491527693952,126.97732495050496,60,127,37.579872,126.989349,1.9800369916656446
중구,11020,20250630,37.56013066532397,126.99591548518642,60,127,37.579872,126.989349,2.2701438411677106
중랑구,11070,20250630,37.597817248706235,127.0928845060759,62,127,37.578663,127.105736,2.4121695800357053
