STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE
강남구,4288,16754043.45,143043,2023-04-08
강동구,5704,12962407.52,126703,2023-04-08
강북구,2004,5403685.98,48621,2023-04-08
강서구,12969,26998346.84,236304,2023-04-08
관악구,3432,9421401.53,82463,2023-04-08
광진구,6833,18292801.81,166896,2023-04-08
구로구,4938,15092293.2,120955,2023-04-08
금천구,1715,6040927.23,47403,2023-04-08
노원구,8435,20549506.21,176179,2023-04-08
도봉구,3284,8965796.32,76919,2023-04-08
동대문구,4433,12009130.5,107935,2023-04-08
동작구,3079,10150382.51,89363,2023-04-08
마포구,7454,25929799.62,235342,2023-04-08
서대문구,2659,8810161.11,74834,2023-04-08
서초구,4259,16863741.89,150634,2023-04-08
성동구,5097,18721713.93,164183,2023-04-08
성북구,3261,9110821.17,77695,2023-04-08
송파구,12933,34505308.25,325759,2023-04-08
양천구,7530,17154187.54,154249,2023-04-08
영등포구,10328,31307375.95,291309,2023-04-08
용산구,3284,12267909.45,107584,2023-04-08
은평구,3759,9768895.41,88209,2023-04-08
종로구,3931,9035458.92,86176,2023-04-08
중구,2467,6246631.31,59679,2023-04-08
중랑구,3905,9965345.23,86647,2023-04-08
