STA_LOC,USE_CNT,MOVE_METER,MOVE_TIME,DATE
강남구,4848,15330174.95,123036,2023-04-07
강동구,6071,12059793.66,116562,2023-04-07
강북구,2059,4791212.19,42544,2023-04-07
강서구,15910,27391539.91,234573,2023-04-07
관악구,3289,7776835.71,67682,2023-04-07
광진구,6637,14102163.48,127489,2023-04-07
구로구,5598,13675054.3,107820,2023-04-07
금천구,2450,5786313.88,44278,2023-04-07
노원구,8475,17958765.72,154110,2023-04-07
도봉구,3015,7482635.74,65417,2023-04-07
동대문구,5003,11915375.01,103904,2023-04-07
동작구,2679,7448480.93,61466,2023-04-07
마포구,6768,18552478.51,163022,2023-04-07
서대문구,2698,7451709.2,60466,2023-04-07
서초구,4319,12872192.28,107788,2023-04-07
성동구,5828,16673521.05,139743,2023-04-07
성북구,3563,8511419.89,71174,2023-04-07
송파구,13357,29550451.76,269602,2023-04-07
양천구,7614,15088547.52,135983,2023-04-07
영등포구,11282,27631053.83,247135,2023-04-07
용산구,2753,8471196.36,68646,2023-04-07
은평구,3448,7642027.81,66976,2023-04-07
종로구,5334,11100502.33,108504,2023-04-07
중구,3741,8911424.19,82775,2023-04-07
중랑구,3902,8630636.18,72214,2023-04-07
